-1	BC1:OA	BC2:AA	BC3:AA	BP1:UU	BP2:UU	BQ1:UOA	BQ2:UAA	BQ3:UOA	BQ4:UAA	BW1:B1L	BW2:Li	BW3:it	TC1:OOA	TC2:OAA	TC3:AAA	TC4:AAA	TQ1:UOOA	TQ2:UOAA	TQ3:UOOA	TQ4:UOAA	TW1:B2B1L	TW2:B1Li	TW3:Lit	TW4:its	UC1:O	UC2:O	UC3:A	UC4:A	UC5:A	UC6:A	UP1:U	UP2:U	UP3:U	UQ1:UO	UQ2:UO	UQ3:UA	UW1:B2	UW2:B1	UW3:L	UW4:i	UW5:t	UW6:s
-1	BC1:KK	BC2:KK	BC3:KK	BP1:OB	BP2:BO	BQ1:BKK	BQ2:BKK	BQ3:OKK	BQ4:OKK	BW1:コン	BW2:ンパ	BW3:パク	TC1:IKK	TC2:KKK	TC3:KKK	TC4:KKK	TQ1:BIKK	TQ2:BKKK	TQ3:OIKK	TQ4:OKKK	TW1:てコン	TW2:コンパ	TW3:ンパク	TW4:パクト	UC1:I	UC2:K	UC3:K	UC4:K	UC5:K	UC6:K	UP1:O	UP2:B	UP3:O	UQ1:OI	UQ2:BK	UQ3:OK	UW1:て	UW2:コ	UW3:ン	UW4:パ	UW5:ク	UW6:ト
-1	BC1:KK	BC2:KK	BC3:KK	BP1:BO	BP2:OO	BQ1:OKK	BQ2:OKK	BQ3:OKK	BQ4:OKK	BW1:ンパ	BW2:パク	BW3:クト	TC1:KKK	TC2:KKK	TC3:KKK	TC4:KKI	TQ1:OKKK	TQ2:OKKK	TQ3:OKKK	TQ4:OKKK	TW1:コンパ	TW2:ンパク	TW3:パクト	TW4:クトな	UC1:K	UC2:K	UC3:K	UC4:K	UC5:K	UC6:I	UP1:B	UP2:O	UP3:O	UQ1:BK	UQ2:OK	UQ3:OK	UW1:コ	UW2:ン	UW3:パ	UW4:ク	UW5:ト	UW6:な
-1	BC1:KK	BC2:KK	BC3:KI	BP1:OO	BP2:OO	BQ1:OKK	BQ2:OKK	BQ3:OKK	BQ4:OKK	BW1:パク	BW2:クト	BW3:トな	TC1:KKK	TC2:KKK	TC3:KKI	TC4:KIH	TQ1:OKKK	TQ2:OKKK	TQ3:OKKK	TQ4:OKKK	TW1:ンパク	TW2:パクト	TW3:クトな	TW4:トな単	UC1:K	UC2:K	UC3:K	UC4:K	UC5:I	UC6:H	UP1:O	UP2:O	UP3:O	UQ1:OK	UQ2:OK	UQ3:OK	UW1:ン	UW2:パ	UW3:ク	UW4:ト	UW5:な	UW6:単
1	BC1:KK	BC2:KI	BC3:IH	BP1:OO	BP2:OO	BQ1:OKK	BQ2:OKI	BQ3:OKK	BQ4:OKI	BW1:クト	BW2:トな	BW3:な単	TC1:KKK	TC2:KKI	TC3:KIH	TC4:IHH	TQ1:OKKK	TQ2:OKKI	TQ3:OKKK	TQ4:OKKI	TW1:パクト	TW2:クトな	TW3:トな単	TW4:な単語	UC1:K	UC2:K	UC3:K	UC4:I	UC5:H	UC6:H	UP1:O	UP2:O	UP3:O	UQ1:OK	UQ2:OK	UQ3:OK	UW1:パ	UW2:ク	UW3:ト	UW4:な	UW5:単	UW6:語
1	BC1:KI	BC2:IH	BC3:HH	BP1:OO	BP2:OB	BQ1:OKI	BQ2:OIH	BQ3:BKI	BQ4:BIH	BW1:トな	BW2:な単	BW3:単語	TC1:KKI	TC2:KIH	TC3:IHH	TC4:HHH	TQ1:OKKI	TQ2:OKIH	TQ3:BKKI	TQ4:BKIH	TW1:クトな	TW2:トな単	TW3:な単語	TW4:単語分	UC1:K	UC2:K	UC3:I	UC4:H	UC5:H	UC6:H	UP1:O	UP2:O	UP3:B	UQ1:OK	UQ2:OK	UQ3:BI	UW1:ク	UW2:ト	UW3:な	UW4:単	UW5:語	UW6:分
-1	BC1:IH	BC2:HH	BC3:HH	BP1:OB	BP2:BB	BQ1:BIH	BQ2:BHH	BQ3:BIH	BQ4:BHH	BW1:な単	BW2:単語	BW3:語分	TC1:KIH	TC2:IHH	TC3:HHH	TC4:HHH	TQ1:BKIH	TQ2:BIHH	TQ3:BKIH	TQ4:BIHH	TW1:トな単	TW2:な単語	TW3:単語分	TW4:語分割	UC1:K	UC2:I	UC3:H	UC4:H	UC5:H	UC6:H	UP1:O	UP2:B	UP3:B	UQ1:OK	UQ2:BI	UQ3:BH	UW1:ト	UW2:な	UW3:単	UW4:語	UW5:分	UW6:割
1	BC1:HH	BC2:HH	BC3:HH	BP1:BB	BP2:BO	BQ1:BHH	BQ2:BHH	BQ3:OHH	BQ4:OHH	BW1:単語	BW2:語分	BW3:分割	TC1:IHH	TC2:HHH	TC3:HHH	TC4:HHK	TQ1:BIHH	TQ2:BHHH	TQ3:OIHH	TQ4:OHHH	TW1:な単語	TW2:単語分	TW3:語分割	TW4:分割ソ	UC1:I	UC2:H	UC3:H	UC4:H	UC5:H	UC6:K	UP1:B	UP2:B	UP3:O	UQ1:BI	UQ2:BH	UQ3:OH	UW1:な	UW2:単	UW3:語	UW4:分	UW5:割	UW6:ソ
-1	BC1:HH	BC2:HH	BC3:HK	BP1:BO	BP2:OB	BQ1:OHH	BQ2:OHH	BQ3:BHH	BQ4:BHH	BW1:語分	BW2:分割	BW3:割ソ	TC1:HHH	TC2:HHH	TC3:HHK	TC4:HKK	TQ1:OHHH	TQ2:OHHH	TQ3:BHHH	TQ4:BHHH	TW1:単語分	TW2:語分割	TW3:分割ソ	TW4:割ソフ	UC1:H	UC2:H	UC3:H	UC4:H	UC5:K	UC6:K	UP1:B	UP2:O	UP3:B	UQ1:BH	UQ2:OH	UQ3:BH	UW1:単	UW2:語	UW3:分	UW4:割	UW5:ソ	UW6:フ
1	BC1:HH	BC2:HK	BC3:KK	BP1:OB	BP2:BO	BQ1:BHH	BQ2:BHK	BQ3:OHH	BQ4:OHK	BW1:分割	BW2:割ソ	BW3:ソフ	TC1:HHH	TC2:HHK	TC3:HKK	TC4:KKK	TQ1:BHHH	TQ2:BHHK	TQ3:OHHH	TQ4:OHHK	TW1:語分割	TW2:分割ソ	TW3:割ソフ	TW4:ソフト	UC1:H	UC2:H	UC3:H	UC4:K	UC5:K	UC6:K	UP1:O	UP2:B	UP3:O	UQ1:OH	UQ2:BH	UQ3:OH	UW1:語	UW2:分	UW3:割	UW4:ソ	UW5:フ	UW6:ト
-1	BC1:HK	BC2:KK	BC3:KK	BP1:BO	BP2:OB	BQ1:OHK	BQ2:OKK	BQ3:BHK	BQ4:BKK	BW1:割ソ	BW2:ソフ	BW3:フト	TC1:HHK	TC2:HKK	TC3:KKK	TC4:KKK	TQ1:OHHK	TQ2:OHKK	TQ3:BHHK	TQ4:BHKK	TW1:分割ソ	TW2:割ソフ	TW3:ソフト	TW4:フトウ	UC1:H	UC2:H	UC3:K	UC4:K	UC5:K	UC6:K	UP1:B	UP2:O	UP3:B	UQ1:BH	UQ2:OH	UQ3:BK	UW1:分	UW2:割	UW3:ソ	UW4:フ	UW5:ト	UW6:ウ
-1	BC1:KK	BC2:KK	BC3:KK	BP1:OB	BP2:BO	BQ1:BKK	BQ2:BKK	BQ3:OKK	BQ4:OKK	BW1:ソフ	BW2:フト	BW3:トウ	TC1:HKK	TC2:KKK	TC3:KKK	TC4:KKK	TQ1:BHKK	TQ2:BKKK	TQ3:OHKK	TQ4:OKKK	TW1:割ソフ	TW2:ソフト	TW3:フトウ	TW4:トウェ	UC1:H	UC2:K	UC3:K	UC4:K	UC5:K	UC6:K	UP1:O	UP2:B	UP3:O	UQ1:OH	UQ2:BK	UQ3:OK	UW1:割	UW2:ソ	UW3:フ	UW4:ト	UW5:ウ	UW6:ェ
-1	BC1:KK	BC2:KK	BC3:KK	BP1:BO	BP2:OO	BQ1:OKK	BQ2:OKK	BQ3:OKK	BQ4:OKK	BW1:フト	BW2:トウ	BW3:ウェ	TC1:KKK	TC2:KKK	TC3:KKK	TC4:KKK	TQ1:OKKK	TQ2:OKKK	TQ3:OKKK	TQ4:OKKK	TW1:ソフト	TW2:フトウ	TW3:トウェ	TW4:ウェア	UC1:K	UC2:K	UC3:K	UC4:K	UC5:K	UC6:K	UP1:B	UP2:O	UP3:O	UQ1:BK	UQ2:OK	UQ3:OK	UW1:ソ	UW2:フ	UW3:ト	UW4:ウ	UW5:ェ	UW6:ア
-1	BC1:KK	BC2:KK	BC3:KK	BP1:OO	BP2:OO	BQ1:OKK	BQ2:OKK	BQ3:OKK	BQ4:OKK	BW1:トウ	BW2:ウェ	BW3:ェア	TC1:KKK	TC2:KKK	TC3:KKK	TC4:KKI	TQ1:OKKK	TQ2:OKKK	TQ3:OKKK	TQ4:OKKK	TW1:フトウ	TW2:トウェ	TW3:ウェア	TW4:ェアで	UC1:K	UC2:K	UC3:K	UC4:K	UC5:K	UC6:I	UP1:O	UP2:O	UP3:O	UQ1:OK	UQ2:OK	UQ3:OK	UW1:フ	UW2:ト	UW3:ウ	UW4:ェ	UW5:ア	UW6:で
-1	BC1:KK	BC2:KK	BC3:KI	BP1:OO	BP2:OO	BQ1:OKK	BQ2:OKK	BQ3:OKK	BQ4:OKK	BW1:ウェ	BW2:ェア	BW3:アで	TC1:KKK	TC2:KKK	TC3:KKI	TC4:KII	TQ1:OKKK	TQ2:OKKK	TQ3:OKKK	TQ4:OKKK	TW1:トウェ	TW2:ウェア	TW3:ェアで	TW4:アです	UC1:K	UC2:K	UC3:K	UC4:K	UC5:I	UC6:I	UP1:O	UP2:O	UP3:O	UQ1:OK	UQ2:OK	UQ3:OK	UW1:ト	UW2:ウ	UW3:ェ	UW4:ア	UW5:で	UW6:す
1	BC1:KK	BC2:KI	BC3:II	BP1:OO	BP2:OO	BQ1:OKK	BQ2:OKI	BQ3:OKK	BQ4:OKI	BW1:ェア	BW2:アで	BW3:です	TC1:KKK	TC2:KKI	TC3:KII	TC4:IIO	TQ1:OKKK	TQ2:OKKI	TQ3:OKKK	TQ4:OKKI	TW1:ウェア	TW2:ェアで	TW3:アです	TW4:です。	UC1:K	UC2:K	UC3:K	UC4:I	UC5:I	UC6:O	UP1:O	UP2:O	UP3:O	UQ1:OK	UQ2:OK	UQ3:OK	UW1:ウ	UW2:ェ	UW3:ア	UW4:で	UW5:す	UW6:。
-1	BC1:KI	BC2:II	BC3:IO	BP1:OO	BP2:OB	BQ1:OKI	BQ2:OII	BQ3:BKI	BQ4:BII	BW1:アで	BW2:です	BW3:す。	TC1:KKI	TC2:KII	TC3:IIO	TC4:IOO	TQ1:OKKI	TQ2:OKII	TQ3:BKKI	TQ4:BKII	TW1:ェアで	TW2:アです	TW3:です。	TW4:す。E1	UC1:K	UC2:K	UC3:I	UC4:I	UC5:O	UC6:O	UP1:O	UP2:O	UP3:B	UQ1:OK	UQ2:OK	UQ3:BI	UW1:ェ	UW2:ア	UW3:で	UW4:す	UW5:。	UW6:E1
1	BC1:II	BC2:IO	BC3:OO	BP1:OB	BP2:BO	BQ1:BII	BQ2:BIO	BQ3:OII	BQ4:OIO	BW1:です	BW2:す。	BW3:。E1	TC1:KII	TC2:IIO	TC3:IOO	TC4:OOO	TQ1:BKII	TQ2:BIIO	TQ3:OKII	TQ4:OIIO	TW1:アです	TW2:です。	TW3:す。E1	TW4:。E1E2	UC1:K	UC2:I	UC3:I	UC4:O	UC5:O	UC6:O	UP1:O	UP2:B	UP3:O	UQ1:OK	UQ2:BI	UQ3:OI	UW1:ア	UW2:で	UW3:す	UW4:。	UW5:E1	UW6:E2
